record_type|state_code|f_system|station_id|travel_dir|travel_lane|year_record|month_record|day_record|day_of_week|hour_00|hour_01|hour_02|hour_03|hour_04|hour_05|hour_06|hour_07|hour_08|hour_09|hour_10|hour_11|hour_12|hour_13|hour_14|hour_15|hour_16|hour_17|hour_18|hour_19|hour_20|hour_21|hour_22|hour_23|restrictions
V|26|3R|022209|3|1|2023|1|1|1|8|3|4|2|5|7|14|12|50|68|112|114|142|133|103|81|68|58|33|44|33|15|8|7|
V|26|3R|022209|3|1|2023|1|2|2|3|4|2|2|4|18|22|61|82|121|158|172|157|144|114|137|105|79|59|35|27|14|12|13|
V|26|3R|022209|3|1|2023|1|3|3|2|1|4|8|7|20|33|64|59|82|75|81|89|72|81|78|87|71|60|32|27|11|8|4|
V|26|3R|022209|3|1|2023|1|4|4|2|6|4|4|3|18|27|52|56|73|69|60|62|69|65|77|76|64|24|15|18|14|7|6|
V|26|3R|022209|3|1|2023|1|5|5|0|1|9|8|5|17|29|37|39|51|66|70|62|68|75|74|75|83|52|54|29|20|6|3|
V|26|3R|022209|3|1|2023|1|6|6|5|0|6|2|4|21|36|54|61|86|87|106|99|112|110|95|144|116|76|60|37|32|16|9|
V|26|3R|022209|3|1|2023|1|7|7|7|2|1|1|5|10|19|33|36|64|87|89|74|99|94|89|84|92|57|42|37|43|22|11|
V|26|3R|022209|3|1|2023|1|8|1|8|3|3|4|4|9|19|37|51|101|98|123|106|112|89|87|80|58|48|38|20|16|11|4|
V|26|3R|022209|3|1|2023|1|9|2|1|2|5|4|6|23|37|59|66|77|80|95|80|76|90|98|96|91|46|38|25|19|9|3|
V|26|3R|022209|3|1|2023|1|10|3|0|2|5|6|8|23|25|49|67|68|69|76|76|98|72|91|104|92|47|37|29|23|4|4|
V|26|3R|022209|3|1|2023|1|11|4|3|2|4|4|8|21|27|60|61|70|65|64|72|76|101|104|86|85|50|41|21|16|16|3|
V|26|3R|022209|3|1|2023|1|12|5|6|6|3|7|13|14|42|55|63|82|72|84|68|107|79|81|90|92|47|41|30|21|10|11|
V|26|3R|022209|3|1|2023|1|13|6|4|2|10|4|8|24|34|59|83|90|113|103|107|106|109|114|115|118|69|51|35|31|16|8|
V|26|3R|022209|3|1|2023|1|14|7|4|3|1|3|6|13|17|39|50|65|75|89|87|94|94|98|113|103|59|63|42|39|17|14|
V|26|3R|022209|3|1|2023|1|15|1|8|3|3|1|4|9|11|38|56|66|110|142|115|117|108|118|119|111|59|36|30|17|11|6|
V|26|3R|022209|3|1|2023|1|16|2|6|2|8|1|6|20|28|71|93|112|125|121|140|111|101|100|80|65|43|38|19|16|8|4|
V|26|3R|022209|3|1|2023|1|17|3|2|1|4|5|8|21|35|65|65|56|72|85|79|74|75|91|92|83|40|34|19|24|8|1|
V|26|3R|022209|3|1|2023|1|18|4|4|1|3|9|8|13|35|58|75|81|75|88|91|102|81|95|104|117|65|39|29|23|15|6|
V|26|3R|022209|3|1|2023|1|19|5|3|1|4|5|9|13|24|48|43|36|41|40|30|39|34|39|23|21|23|19|10|18|7|6|
V|26|3R|022209|3|1|2023|1|20|6|5|3|2|5|8|17|24|52|50|79|141|130|125|124|117|95|113|100|61|36|31|25|17|10|
